Email;CodigoCliente;Nombre
fruteriahelio@gmail.com;1497;FRUTERIA HELIO AVDA DEL VALLE
fruteriahelio@gmail.com;1589;FRUTERIA HELIO ROSAL AYALA
fruteriahelio@gmail.com;1589;FRUTERIA HELIO ROSAL AYALA
fruteriahelio@gmail.com;1589;FRUTERIA HELIO ROSAL AYALA
fruteriahelio@gmail.com;1589;FRUTERIA HELIO ROSAL AYALA
fruteriahelio@gmail.com;1589;FRUTERIA HELIO ROSAL AYALA
fruteriahelio@gmail.com;1589;FRUTERIA HELIO ROSAL AYALA
fruteriahelio@gmail.com;1589;FRUTERIA HELIO ROSAL AYALA
fruteriahelio@gmail.com;1589;FRUTERIA HELIO ROSAL AYALA
fruteriahelio@gmail.com;1589;FRUTERIA HELIO ROSAL AYALA
fruteriahelio@gmail.com;1589;FRUTERIA HELIO ROSAL AYALA
fruteriahelio@gmail.com;1650;FRUTERIA HELIO LA RONDA
fruteriahelio@gmail.com;1650;FRUTERIA HELIO LA RONDA
fruteriahelio@gmail.com;1650;FRUTERIA HELIO LA RONDA
fruteriahelio@gmail.com;1650;FRUTERIA HELIO LA RONDA
fruteriahelio@gmail.com;1650;FRUTERIA HELIO LA RONDA
fruteriahelio@gmail.com;1650;FRUTERIA HELIO LA RONDA
fruteriahelio@gmail.com;1650;FRUTERIA HELIO LA RONDA
fruteriahelio@gmail.com;1650;FRUTERIA HELIO LA RONDA
fruteriahelio@gmail.com;1650;FRUTERIA HELIO LA RONDA
fruteriahelio@gmail.com;1650;FRUTERIA HELIO LA RONDA
fruteriahelio@gmail.com;2060;FRUTERIA HELIO HERVÁS
fruteriahelio@gmail.com;2060;FRUTERIA HELIO HERVÁS
fruteriahelio@gmail.com;2060;FRUTERIA HELIO HERVÁS
fruteriahelio@gmail.com;2060;FRUTERIA HELIO HERVÁS
fruteriahelio@gmail.com;2060;FRUTERIA HELIO HERVÁS
fruteriahelio@gmail.com;2060;FRUTERIA HELIO HERVÁS
fruteriahelio@gmail.com;2060;FRUTERIA HELIO HERVÁS
fruteriahelio@gmail.com;2060;FRUTERIA HELIO HERVÁS
fruteriahelio@gmail.com;2060;FRUTERIA HELIO HERVÁS
fruteriahelio@gmail.com;2060;FRUTERIA HELIO HERVÁS
fruteriahelio@gmail.com;7367;FRUTERIA HELIO MONTEHERMOSO
fruteriahelio@gmail.com;7367;FRUTERIA HELIO MONTEHERMOSO
fruteriahelio@gmail.com;7367;FRUTERIA HELIO MONTEHERMOSO
fruteriahelio@gmail.com;7367;FRUTERIA HELIO MONTEHERMOSO
fruteriahelio@gmail.com;7367;FRUTERIA HELIO MONTEHERMOSO
fruteriahelio@gmail.com;7367;FRUTERIA HELIO MONTEHERMOSO
fruteriahelio@gmail.com;7367;FRUTERIA HELIO MONTEHERMOSO
fruteriahelio@gmail.com;7367;FRUTERIA HELIO MONTEHERMOSO
fruteriahelio@gmail.com;7367;FRUTERIA HELIO MONTEHERMOSO
fruteriahelio@gmail.com;7367;FRUTERIA HELIO MONTEHERMOSO
fruteriahelio@gmail.com;7680;FRUTERIA HELIO CORIA
fruteriahelio@gmail.com;7680;FRUTERIA HELIO CORIA
fruteriahelio@gmail.com;7680;FRUTERIA HELIO CORIA
fruteriahelio@gmail.com;7680;FRUTERIA HELIO CORIA
fruteriahelio@gmail.com;7680;FRUTERIA HELIO CORIA
fruteriahelio@gmail.com;7680;FRUTERIA HELIO CORIA
fruteriahelio@gmail.com;7680;FRUTERIA HELIO CORIA
fruteriahelio@gmail.com;7680;FRUTERIA HELIO CORIA
fruteriahelio@gmail.com;7680;FRUTERIA HELIO CORIA
fruteriahelio@gmail.com;7680;FRUTERIA HELIO CORIA
fruteriahelio@gmail.com;8607;FRUTERIA HELIO PINOFRANQUEADO
fruteriahelio@gmail.com;8607;FRUTERIA HELIO PINOFRANQUEADO
fruteriahelio@gmail.com;8607;FRUTERIA HELIO PINOFRANQUEADO
fruteriahelio@gmail.com;8607;FRUTERIA HELIO PINOFRANQUEADO
fruteriahelio@gmail.com;8607;FRUTERIA HELIO PINOFRANQUEADO
fruteriahelio@gmail.com;8607;FRUTERIA HELIO PINOFRANQUEADO
fruteriahelio@gmail.com;8607;FRUTERIA HELIO PINOFRANQUEADO
fruteriahelio@gmail.com;8607;FRUTERIA HELIO PINOFRANQUEADO
fruteriahelio@gmail.com;8607;FRUTERIA HELIO PINOFRANQUEADO
fruteriahelio@gmail.com;8607;FRUTERIA HELIO PINOFRANQUEADO
gabanaplasenica2015@gmail.com;1120;PANADERIA CAÑADA REAL PLASENCIA
gabanaplasenica2015@gmail.com;1450;PANADERIA DIANA PLAZA LOS PINOS
georgiprise@yahoo.com;3262;REST. MIRANDA DEL JERTE NAVACONCEJO
georgiprise@yahoo.com;3262;REST. MIRANDA DEL JERTE NAVACONCEJO
gestoriarufino@hotmail.com;3147;CARNICERIA LA PATINA NAVACONCEJO
gestoriarufino@hotmail.com;3332;PICA-PICA CABEZUELA
gruassanti@hotmail.com;1755;CAFETERIA RUTA GATA PLASENCIA
gruassanti@hotmail.com;1755;CAFETERIA RUTA GATA PLASENCIA
gruassanti@hotmail.com;1755;CAFETERIA RUTA GATA PLASENCIA
gruassanti@hotmail.com;1755;CAFETERIA RUTA GATA PLASENCIA
gruassanti@hotmail.com;1760;RESTAURANTE LOS CEREZOS PLASENCIA
gruassanti@hotmail.com;1760;RESTAURANTE LOS CEREZOS PLASENCIA
gruassanti@hotmail.com;1760;RESTAURANTE LOS CEREZOS PLASENCIA
gruassanti@hotmail.com;1760;RESTAURANTE LOS CEREZOS PLASENCIA
gruassanti@hotmail.com;1765;RESTAURANTE EL CORDERO PLASENCIA
gruassanti@hotmail.com;1765;RESTAURANTE EL CORDERO PLASENCIA
gruassanti@hotmail.com;1765;RESTAURANTE EL CORDERO PLASENCIA
gruassanti@hotmail.com;1765;RESTAURANTE EL CORDERO PLASENCIA
gruassanti@hotmail.com;1770;BAR EL MIRADOR DEL VALLE PLASENCIA
gruassanti@hotmail.com;1770;BAR EL MIRADOR DEL VALLE PLASENCIA
gruassanti@hotmail.com;1770;BAR EL MIRADOR DEL VALLE PLASENCIA
gruassanti@hotmail.com;1770;BAR EL MIRADOR DEL VALLE PLASENCIA
grupo.caparra@terra.es;1542;CARITAS (COCINA CENTRAL)
grupo.caparra@terra.es;1542;CARITAS (COCINA CENTRAL)
grupo.caparra@terra.es;1542;CARITAS (COCINA CENTRAL)
grupo.caparra@terra.es;1544;CARITAS CASA SACERDOTAL PLASENCIA
grupo.caparra@terra.es;1544;CARITAS CASA SACERDOTAL PLASENCIA
grupo.caparra@terra.es;1544;CARITAS CASA SACERDOTAL PLASENCIA
hola@losalamosplasencia.com;1104;LOS ALAMOS RESTAURANTE PLASENCIA
hola@losalamosplasencia.com;1104;LOS ALAMOS RESTAURANTE PLASENCIA
hola@losalamosplasencia.com;1104;LOS ALAMOS RESTAURANTE PLASENCIA
hola@losalamosplasencia.com;1401;BAR PISCINA DE PLASENCIA
hola@losalamosplasencia.com;1401;BAR PISCINA DE PLASENCIA
hola@losalamosplasencia.com;1401;BAR PISCINA DE PLASENCIA
hola@losalamosplasencia.com;1559;RESTAURANTE LA ORILLITA
hola@losalamosplasencia.com;1559;RESTAURANTE LA ORILLITA
hola@losalamosplasencia.com;1559;RESTAURANTE LA ORILLITA
hostalmirabel@gmail.com;6130;COMPLEJO MIRABEL, S.L.
hostalmirabel@gmail.com;6130;COMPLEJO MIRABEL, S.L.
hotelsantamarta@hotmail.com       facturas;6445;VENTA EL CALDERO
hotelsantamarta@hotmail.com       facturas;6445;VENTA EL CALDERO
hotelsantamarta@hotmail.com       facturas;6445;VENTA EL CALDERO
igleramcb@gmail.com;7167;COVIRAN HOLGUERA
igleramcb@gmail.com;7167;COVIRAN HOLGUERA
infodobleda@gmail.com;4158;UNIVERSIDAD DE VERANO DE JARANDILLA
infodobleda@gmail.com;4158;UNIVERSIDAD DE VERANO DE JARANDILLA
infodobleda@gmail.com;4158;UNIVERSIDAD DE VERANO DE JARANDILLA
infogyd@asesoriaplasencia.com;1412;TOMAS DONCEL DIAZ
infogyd@asesoriaplasencia.com;8635;BRASERIA EL RINCON HURDANO
informacion@hojaranzos.com;3770;HOTEL HOJARANZOS TEJEDA
informacion@hojaranzos.com;3770;HOTEL HOJARANZOS TEJEDA
ivanpozoburdallo@gmail.com;1394;BAR LA ABADIA PLASENCIA
ivanpozoburdallo@gmail.com;1394;BAR LA ABADIA PLASENCIA
ivanpozoburdallo@gmail.com;1394;BAR LA ABADIA PLASENCIA
ivanpozoburdallo@gmail.com;1394;BAR LA ABADIA PLASENCIA
jamonesforillo@yahoo.es;2337;JAMONES FORILLO (HERVAS)
jamonesforillo@yahoo.es;2337;JAMONES FORILLO (HERVAS)
jc-plasencia@hotmail.com;1745;ESTANCO RUA ZAPATERIA
jc-plasencia@hotmail.com;1745;ESTANCO RUA ZAPATERIA
jc-plasencia@hotmail.com;1745;ESTANCO RUA ZAPATERIA
jose.martil@asevaex.com;2109;BAR BBT OTRA HERVAS
jose.martil@asevaex.com;2160;MILAGROS IGLESIAS GONZALEZ
josetandy41@gmail.com;6105;TANDY SERRADILLA
josetandy41@gmail.com;6105;TANDY SERRADILLA
juancarlospuri@hotmail.com;4519;BAR COLÓN JARAIZ
juancarlospuri@hotmail.com;4519;BAR COLÓN JARAIZ
lachirra6@gmail.com;8525;MARIA JOSE ANGEL GARCIA
lachirra6@gmail.com;8525;MARIA JOSE ANGEL GARCIA
ladespensadextremadura@gmail.com;1510;LA DESPENSA (RESTAURANTE)
ladespensadextremadura@gmail.com;1510;LA DESPENSA (RESTAURANTE)
lagaleriaahigal@gmail.com;2478;BAR ANUBIS AHIGAL
lagaleriaahigal@gmail.com;2479;PISCINA DE AHIGAL
lecaser@lecaser.com;8260;RESID. MAYORES VILLASBUENAS
lecaser@lecaser.com;8260;RESID. MAYORES VILLASBUENAS
lecaser@lecaser.com;8260;RESID. MAYORES VILLASBUENAS
lecaser@lecaser.com;8260;RESID. MAYORES VILLASBUENAS
lecaser@lecaser.com;8260;RESID. MAYORES VILLASBUENAS
lecaser@lecaser.com;8260;RESID. MAYORES VILLASBUENAS
lecaser@lecaser.com;8260;RESID. MAYORES VILLASBUENAS
lecaser@lecaser.com;8546;RESIDENCIA LAS HERAS HERNAN-PEREZ
lecaser@lecaser.com;8546;RESIDENCIA LAS HERAS HERNAN-PEREZ
lecaser@lecaser.com;8546;RESIDENCIA LAS HERAS HERNAN-PEREZ
lecaser@lecaser.com;8546;RESIDENCIA LAS HERAS HERNAN-PEREZ
lecaser@lecaser.com;8546;RESIDENCIA LAS HERAS HERNAN-PEREZ
lecaser@lecaser.com;8546;RESIDENCIA LAS HERAS HERNAN-PEREZ
lecaser@lecaser.com;8546;RESIDENCIA LAS HERAS HERNAN-PEREZ
lecaser@lecaser.com;8571;RESID. MAYORES TORRECILLA
lecaser@lecaser.com;8571;RESID. MAYORES TORRECILLA
lecaser@lecaser.com;8571;RESID. MAYORES TORRECILLA
lecaser@lecaser.com;8571;RESID. MAYORES TORRECILLA
lecaser@lecaser.com;8571;RESID. MAYORES TORRECILLA
lecaser@lecaser.com;8571;RESID. MAYORES TORRECILLA
lecaser@lecaser.com;8571;RESID. MAYORES TORRECILLA
lecaser@lecaser.com;8603;RESID. MISIONEROS DE LA PAZ (PINO)
lecaser@lecaser.com;8603;RESID. MISIONEROS DE LA PAZ (PINO)
lecaser@lecaser.com;8603;RESID. MISIONEROS DE LA PAZ (PINO)
lecaser@lecaser.com;8603;RESID. MISIONEROS DE LA PAZ (PINO)
lecaser@lecaser.com;8603;RESID. MISIONEROS DE LA PAZ (PINO)
lecaser@lecaser.com;8603;RESID. MISIONEROS DE LA PAZ (PINO)
lecaser@lecaser.com;8603;RESID. MISIONEROS DE LA PAZ (PINO)
manuelplaza@aficoex.com;1142;AFICOEX ASESORIA SL
manuelplaza@aficoex.com;1142;AFICOEX ASESORIA SL
mari541979@yahoo.es;2428;MARIA JOSE GONZALEZ (SANTIBAÑEZ)
mari541979@yahoo.es;2428;MARIA JOSE GONZALEZ (SANTIBAÑEZ)
maribeljaraiz@hotmail.com;4145;EMBUTIDOS PICO (JARAIZ)
maribeljaraiz@hotmail.com;4145;EMBUTIDOS PICO (JARAIZ)
maribeljaraiz@hotmail.com;4345;EMBUTIDOS PICO (ALDEANUEVA)
maribeljaraiz@hotmail.com;4345;EMBUTIDOS PICO (ALDEANUEVA)
montse@asesoresps.com;7590;PASTELERIA LIDYA
montse@asesoresps.com;7760;MULTITIENDA PABLITO CORIA
montse@asesoresps.com;8140;BAR EL REDOBLE HOYOS
nfernandez@caritasplasencia.org;1595;CARITAS CENTRO DE ACOGIDA TEMPORAL (CAT)
nfernandez@caritasplasencia.org;1595;CARITAS CENTRO DE ACOGIDA TEMPORAL (CAT)
octaviogomezalonso@outlook.com;6230;EDUARDO GOMEZ Y HERMANOS C.B.
octaviogomezalonso@outlook.com;6230;EDUARDO GOMEZ Y HERMANOS C.B.
paco.alimex@telefonica.net;0205;SARRO CLEMENTE S.L.
paco.alimex@telefonica.net;0205;SARRO CLEMENTE S.L.
paloma.cerro@gmail.com;0230;BAR RESTAURANTE MONFRAGÜE C.B.
paloma.cerro@gmail.com;0230;BAR RESTAURANTE MONFRAGÜE C.B.
paloma.cerro@gmail.com;0230;BAR RESTAURANTE MONFRAGÜE C.B.
paloma.cerro@gmail.com;5275;BAR ANTARES MALPARTIDA
paloma.cerro@gmail.com;5275;BAR ANTARES MALPARTIDA
paloma.cerro@gmail.com;5275;BAR ANTARES MALPARTIDA
parada.es@hotmail.com;4075;EMILIO PARADA (1)
parada.es@hotmail.com;4075;EMILIO PARADA (1)
pedidos@laabuelamarga.com;0579;LA ABUELA MARGA, S.L.
pedidos@laabuelamarga.com;0579;LA ABUELA MARGA, S.L.
piscinasriobel@gmail.com;6122;PISCINA DE MIRABEL
piscinasriobel@gmail.com;6122;PISCINA DE MIRABEL
piscinasriobel@gmail.com;7093;BAR EL KIOSKO RIOLOBOS
piscinasriobel@gmail.com;7093;BAR EL KIOSKO RIOLOBOS
profrex2023@gmail.com;0306;PROFREX  TALAYUELA
profrex2023@gmail.com;0306;PROFREX  TALAYUELA
recepcion@palaciocarvajalgiron.com;1246;HOTEL PALAC. CARVAJAL (INDUCIDA)
recepcion@palaciocarvajalgiron.com;1246;HOTEL PALAC. CARVAJAL (INDUCIDA)
recepcion@palaciocarvajalgiron.com;1259;HOTEL PALACIO CARVAJAL-GIRON
recepcion@palaciocarvajalgiron.com;1259;HOTEL PALACIO CARVAJAL-GIRON
reservas@cchoteles.es;4155;HOTEL DON JUAN DE AUSTRIA JARANDILLA
reservas@cchoteles.es;4155;HOTEL DON JUAN DE AUSTRIA JARANDILLA
reservas@cchoteles.es;4181;HOTEL DON JUAN DE AUSTRIA JARANDILLA
reservas@cchoteles.es;4181;HOTEL DON JUAN DE AUSTRIA JARANDILLA
residencialaluz@hotmail.com;5008;VENDING LEGADO (INDUCIDA)
residencialaluz@hotmail.com;5008;VENDING LEGADO (INDUCIDA)
residencialaluz@hotmail.com;5009;VENDING LEGADOS
residencialaluz@hotmail.com;5009;VENDING LEGADOS
reyzmar57@hotmail.com;1306;CLARA ISABEL IZQUIERDO MARCOS
reyzmar57@hotmail.com;1306;CLARA ISABEL IZQUIERDO MARCOS
rfmasides@gmail.com;2148;RESID. FUNDACION MASIDES
rfmasides@gmail.com;2148;RESID. FUNDACION MASIDES
ricardomateoscastro@gmail.com;0730;RICARDO MATEOS CASTRO
ricardomateoscastro@gmail.com;0730;RICARDO MATEOS CASTRO
silviabejarano60@gmail.com;1494;BAR LA PALMERA PLASENCIA
silviabejarano60@gmail.com;1494;BAR LA PALMERA PLASENCIA
simplybasicmontehermoso@gmail.com;7179;ALCAMPO MTH (SUPERMERCADO)
simplybasicmontehermoso@gmail.com;7179;ALCAMPO MTH (SUPERMERCADO)
smelizo@hotmail.com;3166;LA PERRUNILLA EL TORNO
smelizo@hotmail.com;3166;LA PERRUNILLA EL TORNO
smelizo@hotmail.com;3381;HECTOR IVAN GONZALEZ CARRETERO
smelizo@hotmail.com;3381;HECTOR IVAN GONZALEZ CARRETERO
tosalana@hotmail.com;7452;RESID. GERIATR. N.S. ASUNCIÓN GALISTEO
tosalana@hotmail.com;7452;RESID. GERIATR. N.S. ASUNCIÓN GALISTEO
tosalana@hotmail.com;7452;RESID. GERIATR. N.S. ASUNCIÓN GALISTEO
trebedesplasencia@hotmail.com;1216;BAR LA CHIMENEA
trebedesplasencia@hotmail.com;1216;BAR LA CHIMENEA
trebedesplasencia@hotmail.com;1421;REST. LAS TREBEDES DE DOÑA VICENTA
trebedesplasencia@hotmail.com;1421;REST. LAS TREBEDES DE DOÑA VICENTA
vicentemateosperal@gmail.com;0735;VICENTE MATEOS PERAL
vicentemateosperal@gmail.com;0735;VICENTE MATEOS PERAL
violetamareque@gmail.com;1036;ESCUELA MUNICIPAL DE COCINA
violetamareque@gmail.com;1036;ESCUELA MUNICIPAL DE COCINA
violetamareque@gmail.com;1036;ESCUELA MUNICIPAL DE COCINA
violetamareque@gmail.com;1036;ESCUELA MUNICIPAL DE COCINA
violetamareque@gmail.com;1036;ESCUELA MUNICIPAL DE COCINA
yadira@ludusa.com;1250;BAR RANCHO GRANDE
yadira@ludusa.com;7280;PANADERIA RIOLOBOS, S.L.
